KM,Municipio
218,GUARULHOS
177,PONTA GROSSA
16,GARUVA
327,NOVA ERA
43,GASPAR
280,CATALAO
74,BOA VISTA DAS MISSOES
77,UBERLANDIA
40,UBATUBA
8,MARINGA
488,BETIM
97,DUQUE DE CAXIAS
599,CUNHA PORA
501,CAJAZEIRAS
288,MACAIBA
97,NATAL
54,IPUIUNA
495,ANGRA DOS REIS
655,RIO VERDE DE MATO GROSSO
289,DOURADINA
468,SETE LAGOAS
11,GOIANA
157,ESTANCIA
6,BRASILIA
133,JOAO PINHEIRO
51,PAPANDUVA
293,ITABORAI
65,INDAIAL
431,TIBAGI
238,CARLOS BARBOSA
16,BRASILIA
137,RUSSAS
679,GURUPI
378,ICARA
411,IGARATINGA
433,RIO VERDE
477,ROSARIO DO SUL
531,CAMPO BONITO
600,AGUA BOA
496,GOIANIA
513,CASCAVEL
646,UBERLANDIA
121,SOORETAMA
39,CATINGUEIRA
500,ROSARIO DO SUL
109,DUQUE DE CAXIAS
388,OURO PRETO DO OESTE
34,DOM ELISEU
213,PALHOCA
585,DIAMANTINO
83,RIO LARGO
533,ITATIAIUCU
18,PALHOCA
482,BETIM
220,LAGES
938,MANAUS
548,CAXIAS
13,RIO REAL
62,FORMOSA
419,MARACANAU
416,MANGARATIBA
462,SETE LAGOAS
41,TRES FORQUILHAS
95,DOMINGOS MARTINS
296,ITABORAI
84,SAO PAULO
114,CACIMBINHAS
199,TIBAGI
729,OLIVEIRA FORTES
555,AMELIA RODRIGUES
37,GOIANIA
313,ALTOS
440,FEIRA DE SANTANA
23,ARAQUARI
454,MANGARATIBA
942,MUCURI
241,CANOINHAS
19,JOAO PESSOA
707,PORTO VELHO
127,LONTRAS
8,TORRES
1,AGUAS LINDAS DE GOIAS
179,BOCAINA DO SUL
77,SAO MATEUS
5,PARANAGUA
86,PORTO ALEGRE
518,IGARAPE
517,GUARANIACU
523,FEIRA DE SANTANA
532,ITATIAIUCU
253,IMPERATRIZ
117,FLORES DE GOIAS
176,CAMPO ALEGRE DE GOIAS
77,MARUIM
191,BIGUACU
150,ITAPEMA
14,AGUAS LINDAS DE GOIAS
663,CHAPADINHA
168,CANGUARETAMA
654,MATELANDIA
82,APODI
19,VILHENA
6,SAO JOSE
222,PALHOCA
728,CARMO DA CACHOEIRA
