TipoVeiculo,Marca
Automóvel,PEUGEOT/206 SW 16PRESENC
Automóvel,RENAULT/SANDERO EXP1016V
Automóvel,GM/ASTRA SEDAN ADVANTAGE
Automóvel,I/CHEVROLET AGILE LT
Automóvel,VW/GOL 1.0
Automóvel,FORD/FIESTA FLEX
Automóvel,GM/CORSA SUPER
Automóvel,CITROEN/C3 AIRC TENDANCE
Automóvel,TOYOTA/ETIOS SD XLS
Automóvel,GM/CORSA HATCH MAXX
Automóvel,VW/NOVO VOYAGE CL MBV
Automóvel,GM/CELTA 4P LIFE
Automóvel,CHEV/SPIN 1.8L MT LT
Automóvel,CHEVROLET/ONIX 10MT JOYE
Automóvel,VW/GOL 1.6 POWER
Automóvel,VW/GOL 16V PLUS
Automóvel,IMP/FIAT SIENA EL
Automóvel,FIAT/PALIO ELX FLEX
Automóvel,PEUGEOT/206 14 PRESEN FX
Automóvel,I/RENAULT CLIO CAM 10H3P
Automóvel,VW/NOVO GOL 1.0 CITY
Automóvel,PEUGEOT/207SW XR S
Automóvel,VW/FOX 1.0 ROUTE
Automóvel,FIAT/STILO FLEX
Automóvel,VW/GOL SELECAO MB
Automóvel,VW/GOL CLI
Automóvel,FIAT/UNO MILLE FIRE
Automóvel,I/NISSAN SENTRA 20SL CVT
Automóvel,GM/MONZA SL
Automóvel,CHEVROLET/CRUZE LT NB
Automóvel,VW/GOL CL
Automóvel,FIAT/PALIO FIRE ECONOMY
Automóvel,GM/OMEGA GLS
Automóvel,VW/GOL 1.0 GIV
Automóvel,CHEV/PRISMA 10MT JOYE
Automóvel,GM/CLASSIC LIFE
Automóvel,CITROEN/C3 EXCL 16 16V
Automóvel,GM/CELTA 5 PORTAS SUPER
Automóvel,RENAULT/SCENIC EXP 1616V
Automóvel,I/NISSAN SENTRA S
Automóvel,GM/CORSA SEDAN
Automóvel,CHEVROLET/COBALT 1.8 LTZ
Automóvel,FORD/FIESTA
Automóvel,CHEV/SPIN 1.8L AT ACT
Automóvel,GM/CLASSIC SPIRIT
Automóvel,RENAULT/SANDERO STEPWAY
Automóvel,FIAT/UNO MILLE ECONOMY
Automóvel,I/RENAULT SYMBOL EXPR 16
Automóvel,FIAT/UNO DRIVE 1.0
Automóvel,VW/FOX 1.0 GII
Automóvel,FORD/FIESTA 16SE
Automóvel,FORD/VERSAILLES 1.8 I GL
Automóvel,I/CHEVROLET CLASSIC LS
Automóvel,RENAULT/SANDERO STEP 16
Automóvel,CHEVROLET/ONIX 1.4MT LTZ
Automóvel,CHEVROLET/CELTA 1.0L LT
Automóvel,I/PEUGEOT 207HB XR
Automóvel,CHEV/SPIN 1.8L AT LTZ
Automóvel,TOYOTA/COROLLA XEI20FLEX
Automóvel,HYUNDAI/HB20 1.6M COMF
Automóvel,VW/GOL MI
Automóvel,FORD/KA
Automóvel,FIAT/PALIO FIRE FLEX
Automóvel,CHEVROLET/ONIX 1.4MT LT
Automóvel,GM/CORSA HATCH JOY
